"id (S)","location (S)","isCapital (BOOL)"
"0523a588-76b1-43d8-bd28-e76f7efe3a35","city#earth#oceania#american samoa#pago pago","true"
"fbd6e878-d474-4073-8424-d1c28863de60","city#earth#south america#argentina#buenos aires","true"
"2fbe4751-ed14-4c92-9814-cfa5dad839bb","city#earth#oceania#australia#canberra","true"
"7ddf4d4f-0499-466c-960f-58c9697303da","city#earth#europe#austria#vienna","true"
"e857a2f1-9c16-41b8-a76d-aa181453ea49","city#earth#north america#aruba#oranjestad","true"
"122419b0-ed31-42f9-bb41-15382f9ebf73","city#earth#asia#india#new delhi","true"
"465d3198-b47e-41b0-8313-b7af26b20023","city#earth#europe#aland islands#mariehamn","true"
"9841e6de-8141-4e5d-9d00-fcecd55a0566","city#earth#asia#azerbaijan#baku","true"
"0f5120a3-1d8f-43df-a1da-dde40856c6ff","city#earth#europe#ireland#dublin","true"
"cb846fc3-184d-4af2-9c0b-06d8d8748aac","city#earth#asia#indonesia#jakarta","true"
"4b44b3cf-9596-42aa-9eb0-7d6980b515a4","city#earth#europe#ukraine#kiev","true"
"3575a1e8-0bd3-47c4-b351-6bb7ecb1c354","city#earth#asia#qatar#doha","true"
"0dce1222-e163-4977-b573-fb1375ed1ee4","city#earth#africa#mozambique#maputo","true"
